LPLA_ECOLI,0.42,0.38,0.48,0.50,0.54,0.34,0.43,cp
LYSR_ECOLI,0.44,0.56,0.48,0.50,0.50,0.46,0.54,cp
MALQ_ECOLI,0.52,0.36,0.48,0.50,0.41,0.28,0.38,cp
MALZ_ECOLI,0.36,0.41,0.48,0.50,0.48,0.47,0.54,cp
MASY_ECOLI,0.18,0.30,0.48,0.50,0.46,0.24,0.35,cp
METB_ECOLI,0.47,0.29,0.48,0.50,0.51,0.33,0.43,cp
METC_ECOLI,0.24,0.43,0.48,0.50,0.54,0.52,0.59,cp
METK_ECOLI,0.25,0.37,0.48,0.50,0.41,0.33,0.42,cp
METR_ECOLI,0.52,0.57,0.48,0.50,0.42,0.47,0.54,cp
METX_ECOLI,0.25,0.37,0.48,0.50,0.43,0.26,0.36,cp
MURF_ECOLI,0.35,0.48,0.48,0.50,0.56,0.40,0.48,cp
NADA_ECOLI,0.26,0.26,0.48,0.50,0.34,0.25,0.35,cp
NFRC_ECOLI,0.44,0.51,0.48,0.50,0.47,0.26,0.36,cp
NHAR_ECOLI,0.37,0.50,0.48,0.50,0.42,0.36,0.45,cp
NIRD_ECOLI,0.44,0.42,0.48,0.50,0.42,0.25,0.20,cp
OMPR_ECOLI,0.24,0.43,0.48,0.50,0.37,0.28,0.38,cp
OTC1_ECOLI,0.42,0.30,0.48,0.50,0.48,0.26,0.36,cp
OTC2_ECOLI,0.48,0.42,0.48,0.50,0.45,0.25,0.35,cp
PEPE_ECOLI,0.41,0.48,0.48,0.50,0.51,0.44,0.51,cp
PFLA_ECOLI,0.44,0.28,0.48,0.50,0.43,0.27,0.37,cp
PFLB_ECOLI,0.29,0.41,0.48,0.50,0.48,0.38,0.46,cp
PGK_ECOLI,0.34,0.28,0.48,0.50,0.41,0.35,0.44,cp
PHOB_ECOLI,0.41,0.43,0.48,0.50,0.45,0.31,0.41,cp
PHOH_ECOLI,0.29,0.47,0.48,0.50,0.41,0.23,0.34,cp
PMBA_ECOLI,0.34,0.55,0.48,0.50,0.58,0.31,0.41,cp
PNP_ECOLI,0.36,0.56,0.48,0.50,0.43,0.45,0.53,cp
PROB_ECOLI,0.40,0.46,0.48,0.50,0.52,0.49,0.56,cp
PT1A_ECOLI,0.50,0.49,0.48,0.50,0.49,0.46,0.53,cp
PT1_ECOLI,0.52,0.44,0.48,0.50,0.37,0.36,0.42,cp
PTCA_ECOLI,0.50,0.51,0.48,0.50,0.27,0.23,0.34,cp
PTCB_ECOLI,0.53,0.42,0.48,0.50,0.16,0.29,0.39,cp
PTFA_ECOLI,0.34,0.46,0.48,0.50,0.52,0.35,0.44,cp
PTGA_ECOLI,0.40,0.42,0.48,0.50,0.37,0.27,0.27,cp
PTHA_ECOLI,0.41,0.43,0.48,0.50,0.50,0.24,0.25,cp
PTHP_ECOLI,0.30,0.45,0.48,0.50,0.36,0.21,0.32,cp
PTKA_ECOLI,0.31,0.47,0.48,0.50,0.29,0.28,0.39,cp
PTKB_ECOLI,0.64,0.76,0.48,0.50,0.45,0.35,0.38,cp
PTNA_ECOLI,0.35,0.37,0.48,0.50,0.30,0.34,0.43,cp
PTWB_ECOLI,0.57,0.54,0.48,0.50,0.37,0.28,0.33,cp
PTWX_ECOLI,0.65,0.55,0.48,0.50,0.34,0.37,0.28,cp
RHAR_ECOLI,0.51,0.46,0.48,0.50,0.58,0.31,0.41,cp
RHAS_ECOLI,0.38,0.40,0.48,0.50,0.63,0.25,0.35,cp
RIMI_ECOLI,0.24,0.57,0.48,0.50,0.63,0.34,0.43,cp
RIMJ_ECOLI,0.38,0.26,0.48,0.50,0.54,0.16,0.28,cp
RIML_ECOLI,0.33,0.47,0.48,0.50,0.53,0.18,0.29,cp
RNB_ECOLI,0.24,0.34,0.48,0.50,0.38,0.30,0.40,cp
RNC_ECOLI,0.26,0.50,0.48,0.50,0.44,0.32,0.41,cp
RND_ECOLI,0.44,0.49,0.48,0.50,0.39,0.38,0.40,cp
SYV_ECOLI,0.00,0.38,0.48,0.50,0.42,0.48,0.55,cp
SYW_ECOLI,0.39,0.31,0.48,0.50,0.38,0.34,0.43,cp
SYY_ECOLI,0.30,0.44,0.48,0.50,0.49,0.22,0.33,cp
THGA_ECOLI,0.27,0.30,0.48,0.50,0.71,0.28,0.39,cp
THIK_ECOLI,0.17,0.52,0.48,0.50,0.49,0.37,0.46,cp
TYRB_ECOLI,0.36,0.42,0.48,0.50,0.53,0.32,0.41,cp
UBIC_ECOLI,0.30,0.37,0.48,0.50,0.43,0.18,0.30,cp
UGPQ_ECOLI,0.26,0.40,0.48,0.50,0.36,0.26,0.37,cp
USPA_ECOLI,0.40,0.41,0.48,0.50,0.55,0.22,0.33,cp
